word,meaning,phonetic,example,example_cn
American,美国的,/əˈmerɪkən/,American culture has spread around the world.,美国文化已经传播到世界各地。
Thanksgiving,感恩节,/ˌθæŋksˈɡɪvɪŋ/,We eat turkey on Thanksgiving.,感恩节我们吃火鸡。
Christmas,圣诞节,/ˈkrɪsməs/,We decorate the tree every Christmas.,我们每年圣诞节都装饰圣诞树。
riddle,谜；谜语,/ˈrɪdl/,,
act,扮演,/ækt/,,
first,第一（的）,/fɜːst/,She was the first person to arrive at the party.,她是第一个到达派对的人。
second,第二（的）,/ˈsekənd/,She finished second in the race.,她在比赛中获得了第二名。
third,第三（的）,/θɜːd/,I sit in the third row.,我坐在第三排。
fourth,第四（的）,/fɔːθ/,July is the fourth month of summer.,七月是夏天的第四个月。
fifth,第五（的）,/fɪfθ/,She finished fifth in the race.,她在比赛中获得了第五名。
twelfth,第十二（的）,/twelfθ/,December is the twelfth month of the year.,十二月是一年中的第十二个月。
twentieth,第二十（的）,/ˈtwentiəθ/,Today is the twentieth of June.,今天是六月二十日。
twenty-first,第二十一（的）,,Today is my twenty-first birthday.,今天是我二十一岁生日。
twenty-third,第二十三（的）,,She was twenty-third in line.,她在队伍中排第二十三位。
thirtieth,第三十（的）,/ˈθɜːtiəθ/,Today is the thirtieth day of the month.,今天是这个月的第三十天。
other,其他,/ˈʌðə(r)/,Do you have any other questions?,你还有其他问题吗？
special,特殊的；特别的,/ˈspeʃl/,Today is a special day for our family.,今天对我们家来说是特别的一天。
festival,节日,/ˈfestɪvl/,We celebrate the Spring Festival with our family.,我们和家人一起庆祝春节。
kitten,小猫,/ˈkɪtn/,The kitten is sleeping on the sofa.,小猫正在沙发上睡觉。
diary,日记,/ˈdaɪəri/,She writes in her diary every night before bed.,她每晚睡前写日记。
noise,声音；响声；噪音,/nɔɪz/,The noise outside kept me awake.,外面的噪音让我睡不着。
fur,（某些动物的）浓密的软毛,/fɜː(r)/,The cat has soft white fur.,那只猫有柔软的白色软毛。
open,开着的,/ˈəʊpən/,Please open the window to let in some fresh air.,请打开窗户透透气。
mine,我的,/maɪn/,"This book is mine, not yours.",这本书是我的，不是你的。
yours,你（们）的,/jɔːz/,"This pen is yours, not mine.",这支笔是你的，不是我的。
his,他的,/hɪz/,That is his car.,那是他的车。
hers,她的,/hɜːz/,This book is hers.,这本书是她的。
theirs,他们的；她们的；它们的,/ðeəz/,"This book is theirs, not mine.",这本书是他们的，不是我的。
ours,我们的,/ˈaʊəz/,That car is ours.,那辆车是我们的。
climbing,（正在）攀登；攀爬,/ˈklaɪmɪŋ/,He is climbing the ladder to get the ball.,他正在爬梯子去拿球。
eating,（正在）吃,/ˈiːtɪŋ/,She is eating breakfast in the kitchen.,她正在厨房里吃早饭。
playing,（正在）玩耍,/ˈpleɪɪŋ/,The kids are playing in the sandbox.,孩子们正在沙坑里玩耍。
jumping,（正在）跳,/ˈdʒʌmpɪŋ/,The children are jumping rope in the yard.,孩子们正在院子里跳绳子。
drinking,（正在）喝（水）,/ˈdrɪŋkɪŋ/,The cat is drinking milk from the bowl.,那只猫正在喝碗里的牛奶。
sleeping,（正在）睡觉,/ˈsliːpɪŋ/,The cat is sleeping on the sofa.,那只猫正在沙发上睡觉。
each,每一；各个,/iːtʃ/,Each student has a book.,每个学生都有一本书。
excited,兴奋的；激动的,/ɪkˈsaɪtɪd/,The children are excited about the trip to the zoo.,孩子们对去动物园的旅行感到兴奋。
exhibition,展览,/ˌeksɪˈbɪʃn/,There is a photography exhibition at the gallery.,画廊里有一个摄影展。
teach,教,/tiːtʃ/,My father teaches me how to ride a bike.,我爸爸教我骑自行车。
sure,（表示同意）当然,/ʃʊə(r)/,Are you sure about that?,你确定吗？
Canadian,加拿大的,/kəˈneɪdiən/,My neighbor is Canadian and he loves hockey.,我的邻居是加拿大人，他非常喜欢冰球。
Spanish,西班牙的,/ˈspænɪʃ/,He is learning Spanish this year.,他今年在学西班牙语。
its,它的,/ɪts/,The cat is cleaning its fur.,猫正在清理它的毛发。
bamboo,竹子,/ˌbæmˈbuː/,Pandas eat bamboo every day.,熊猫每天吃竹子。
doing morning exercises,（正在）做早操,,The students are doing morning exercises on the playground.,学生们正在操场上做早操。
eating lunch,（正在）吃午饭,,The students are eating lunch in the cafeteria.,学生们正在餐厅吃午饭。
reading a book,（正在）看书,,The boy is reading a book under the tree.,那个男孩正在树底下看书。
listening to music,（正在）听音乐,,He is listening to music on his phone.,他正在手机上听音乐。
keep,保持某种状态,/kiːp/,Please keep your room clean and tidy.,请保持你的房间干净整洁。
keep to the right,靠右,,"In most countries, cars keep to the right.",在大多数国家，汽车靠右行驶。
keep your desk clean,保持你的课桌干净,,The teacher told us to keep your desk clean.,老师告诉我们要保持你的课桌干净。
talk quietly,小声讲话,,You should talk quietly in the hospital.,在医院里你应该小声讲话。
turn,顺序,/tɜːn/,Please turn left at the corner.,请在拐角处左转。
take turns,按顺序来,,Let's take turns using the computer.,我们按顺序来用电脑吧。
