word,meaning,phonetic,example,example_cn
good,/ɡʊd/,好的,Good morning!,早上好！
morning,/ˈmɔːnɪŋ/,早晨；上午,"Good morning, Mom!",早上好，妈妈！
mom,/mɒm/,妈妈,"Mom, I love you.",妈妈，我爱你。
woof,/wʊf/,（狗叫声）汪！,"The dog says ""Woof!""","狗说""汪！"""
fine,/faɪn/,健康的；晴朗的,"I'm fine, thank you.",我很好，谢谢你。
thank,/θæŋk/,谢谢,Thank you very much.,非常感谢你。
afternoon,/ˌɑːftəˈnuːn/,下午,Good afternoon!,下午好！
egg,/eɡ/,蛋,I have an egg for breakfast.,我早餐吃一个鸡蛋。
fish,/fɪʃ/,鱼；鱼肉,The fish is in the water.,鱼在水里。
have,/hæv/,有；吃,I have a new bag.,我有一个新书包。
day,/deɪ/,（一）天,Have a good day!,祝你度过美好的一天！
street,/striːt/,大街；街道,I walk on the street.,我走在街道上。
this,/ðɪs/,这个,This is my friend.,这是我的朋友。
goodbye,/ˌɡʊdˈbaɪ/,再见,"Goodbye, see you!",再见，回头见！
bye,/baɪ/,再见,Bye-bye!,再见！
hen,/hen/,母鸡,The hen is on the farm.,母鸡在农场里。
fun,/fʌn/,有趣的；乐趣,Let's have fun!,我们玩得开心点！
number,/ˈnʌmbə/,号码；数字,What's your phone number?,你的电话号码是多少？
let,/let/,让,Let me help you.,让我来帮你。
us,/ʌs/,我们（宾格）,Let us go together.,让我们一起走吧。
play,/pleɪ/,玩耍；演奏,Let's play football.,我们来踢足球吧。
park,/pɑːk/,公园,We play in the park.,我们在公园里玩。
OK,/əʊˈkeɪ/,行；好,"OK, let's go!",好的，我们走吧！
one,/wʌn/,一,I have one pencil.,我有一支铅笔。
two,/tuː/,二,Two and two is four.,二加二等于四。
three,/θriː/,三,I see three birds.,我看见三只鸟。
four,/fɔː/,四,I have four books.,我有四本书。
five,/faɪv/,五,Give me five!,击个掌吧！
six,/sɪks/,六,I am six years old.,我六岁了。
seven,/ˈsevn/,七,Seven days in a week.,一周有七天。
eight,/eɪt/,八,Eight is my lucky number.,八是我的幸运数字。
nine,/naɪn/,九,It's nine o'clock.,现在九点钟。
ten,/ten/,十,Count from one to ten.,从一数到十。
great,/ɡreɪt/,极好的,That's great!,那太棒了！
jacket,/ˈdʒækɪt/,夹克,Put on your jacket.,穿上你的夹克。
duck,/dʌk/,鸭子,The duck can swim.,鸭子会游泳。
look,/lʊk/,看,Look at the blackboard.,看黑板。
many,/ˈmeni/,许多的,I have many toys.,我有很多玩具。
really,/ˈrɪəli/,真正地,Really? That's cool!,真的吗？太酷了！
yes,/jes/,是；是的,"Yes, I can.",是的，我会。
that,/ðæt/,那；那个,That is a kite.,那是一只风筝。
right,/raɪt/,正确的；右边的,You are right.,你是对的。
kite,/kaɪt/,风筝,Let's fly a kite.,我们来放风筝吧。
lion,/ˈlaɪən/,狮子,The lion is strong.,狮子很强壮。
go,/ɡəʊ/,去；走,Let's go to school.,我们去上学吧。
old,/əʊld/,……岁的；老的,How old is your grandpa?,你爷爷多大年纪了？
year,/jɪə/,年,I am eight years old.,我八岁了。
oh,/əʊ/,啊，呀,"Oh, I see!",哦，我明白了！
sorry,/ˈsɒri/,对不起,I'm sorry.,对不起。
yeah,/jeə/,是的,Yeah! Let's go!,好啊！我们走吧！
monkey,/ˈmʌŋki/,猴子,The monkey is clever.,猴子很聪明。
noodle,/ˈnuːdl/,面条,I like noodles.,我喜欢吃面条。
phone,/fəʊn/,电话,"Answer the phone, please.",请接电话。
it,/ɪt/,它,It is a dog.,它是一只狗。
pet,/pet/,宠物,I have a pet rabbit.,我有一只宠物兔子。
orange,/ˈɒrɪndʒ/,橙子；橙色的,The orange is sweet.,这个橙子很甜。
pig,/pɪɡ/,猪,The pig is pink.,猪是粉色的。
color,/ˈkʌlə/,颜色；着色,What color is it?,它是什么颜色的？
around,/əˈraʊnd/,围绕,Look around you.,看看你的周围。
green,/ɡriːn/,绿色；绿色的,The grass is green.,草是绿色的。
on,/ɒn/,在……之上,The book is on the desk.,书在桌子上。
way,/weɪ/,路；方式,"This way, please.",请这边走。
stop,/stɒp/,停止；车站,Stop! The light is red.,停！红灯亮了。
light,/laɪt/,灯；光线,Turn on the light.,开灯。
red,/red/,红色；红色的,The apple is red.,苹果是红色的。
now,/naʊ/,现在,Let's go now.,我们现在走吧。
question,/ˈkwestʃən/,问题,I have a question.,我有一个问题。
rabbit,/ˈræbɪt/,兔子,The rabbit is white.,兔子是白色的。
art,/ɑːt/,美术；艺术,We have art class today.,我们今天有美术课。
class,/klɑːs/,课；班级,We are in Class One.,我们在一班。
game,/ɡeɪm/,游戏；比赛,Let's play a game.,我们来玩个游戏吧。
blue,/bluː/,蓝色；蓝色的,The sky is blue.,天空是蓝色的。
yellow,/ˈjeləʊ/,黄色；黄色的,The banana is yellow.,香蕉是黄色的。
wow,/waʊ/,呀，哇,Wow! That's great!,哇！太棒了！
white,/waɪt/,白色；白色的,The snow is white.,雪是白色的。
pink,/pɪŋk/,粉红色；粉红色的,I like pink flowers.,我喜欢粉色的花。
star,/stɑː/,星星,I can see many stars.,我能看见很多星星。
teacher,/ˈtiːtʃə/,老师,Miss Gao is our teacher.,高老师是我们的老师。
show,/ʃəʊ/,给……看；展示,Show me your book.,给我看看你的书。
me,/miː/,我（宾格）,Look at me.,看着我。
schoolbag,/ˈskuːlbæɡ/,书包,This is my new schoolbag.,这是我的新书包。
black,/blæk/,黑色；黑色的,The cat is black.,这只猫是黑色的。
pen,/pen/,钢笔,This is a blue pen.,这是一支蓝色的钢笔。
pencil,/ˈpensl/,铅笔,I have a red pencil.,我有一支红色的铅笔。
ruler,/ˈruːlə/,尺子,Where is my ruler?,我的尺子在哪里？
book,/bʊk/,书,This is my English book.,这是我的英语书。
eraser,/ɪˈreɪzə/,橡皮擦,Can I use your eraser?,我能用你的橡皮吗？
umbrella,/ʌmˈbrelə/,雨伞,Take your umbrella.,带上你的雨伞。
violin,/ˌvaɪəˈlɪn/,小提琴,She can play the violin.,她会拉小提琴。
they,/ðeɪ/,他们；她们；它们,They are my friends.,他们是我的朋友。
colorful,/ˈkʌləfl/,多彩的,The flowers are colorful.,花儿五颜六色。
flower,/ˈflaʊə/,花,This is a beautiful flower.,这是一朵美丽的花。
after,/ˈɑːftə/,在……之后,Read after me.,跟我读。
step,/step/,步骤；脚步,"One step, two steps.",一步，两步。
draw,/drɔː/,画画,Let's draw a cat.,我们来画一只猫吧。
cut,/kʌt/,剪；切,"Cut the paper, please.",请剪纸。
make,/meɪk/,制作；使变得,Let's make a card.,我们来做张卡片吧。
window,/ˈwɪndəʊ/,窗户,Look out of the window.,看窗外。
love,/lʌv/,爱；喜爱,I love my family.,我爱我的家人。
family,/ˈfæməli/,家庭,This is my family.,这是我的家人。
father,/ˈfɑːðə/,父亲；爸爸,My father is a doctor.,我爸爸是一名医生。
brother,/ˈbrʌðə/,哥哥；弟弟,My brother is tall.,我哥哥很高。
sister,/ˈsɪstə/,姐姐；妹妹,My sister is cute.,我妹妹很可爱。
welcome,/ˈwelkəm/,欢迎,Welcome to my home!,欢迎来我家！
mother,/ˈmʌðə/,母亲；妈妈,My mother is a teacher.,我妈妈是一名老师。
here,/hɪə/,这里,"Come here, please.",请到这里来。
cake,/keɪk/,蛋糕,Happy birthday! Here's a cake.,生日快乐！这是蛋糕。
zoo,/zuː/,动物园,Let's go to the zoo.,我们去动物园吧。
who,/huː/,谁,Who is he?,他是谁？
he,/hiː/,他,He is my brother.,他是我哥哥。
happy,/ˈhæpi/,快乐的,Happy birthday to you!,祝你生日快乐！
birthday,/ˈbɜːθdeɪ/,生日,Today is my birthday.,今天是我的生日。
we,/wiː/,我们,We are a happy family.,我们是幸福的一家人。
present,/ˈpreznt/,礼物,This is a present for you.,这是给你的礼物。
for,/fɔː/,给；为了,This flower is for you.,这朵花是给你的。
grandpa,/ˈɡrænpɑː/,爷爷；外公,My grandpa is kind.,我爷爷很慈祥。
she,/ʃiː/,她,She is my sister.,她是我妹妹。
grandma,/ˈɡrænmɑː/,奶奶；外婆,My grandma cooks well.,我奶奶做饭很好吃。
wish,/wɪʃ/,愿望；希望,Make a wish!,许个愿吧！
candle,/ˈkændl/,蜡烛,There are nine candles.,有九根蜡烛。
photo,/ˈfəʊtəʊ/,照片,This is a family photo.,这是一张全家福。
so,/səʊ/,如此；所以,You are so cute!,你真可爱！
cute,/kjuːt/,可爱的,The baby is so cute.,这个宝宝真可爱。
doctor,/ˈdɒktə/,医生,My father is a doctor.,我爸爸是一名医生。
English,/ˈɪŋɡlɪʃ/,英语,I like English class.,我喜欢英语课。
farmer,/ˈfɑːmə/,农民,The farmer works hard.,农民辛勤劳作。
cook,/kʊk/,厨师；煮,My mom can cook well.,我妈妈做饭很好吃。
uncle,/ˈʌŋkl/,叔；伯；舅,My uncle lives in Beijing.,我叔叔住在北京。
worker,/ˈwɜːkə/,工人,He is a factory worker.,他是一名工厂工人。
aunt,/ɑːnt/,婶；姑；姨,My aunt is a nurse.,我姑姑是一名护士。
nurse,/nɜːs/,护士,The nurse is very kind.,这位护士很和蔼。
big,/bɪɡ/,大的,We have a big family.,我们有一个大家庭。
about,/əˈbaʊt/,关于；大约,fill in,/fɪl ɪn/
act,/ækt/,扮演,find,/faɪnd/
again,/əˈɡen/,又一次；再一次,finger,/ˈfɪŋɡə/
age,/eɪdʒ/,年龄,from,/frɒm/
all,/ɔːl/,所有；全部,give,/ɡɪv/
answer,/ˈɑːnsə/,回答,greet,/ɡriːt/
ask,/ɑːsk/,询问,greeting,/ˈɡriːtɪŋ/
baby,/ˈbeɪbi/,婴儿；幼崽,group,/ɡruːp/
bank,/bæŋk/,银行,hammer,/ˈhæmə/
blank,/blæŋk/,空白处,hooray,/hʊˈreɪ/
body,/ˈbɒdi/,身体,introduce,/ˌɪntrəˈdjuːs/
box,/bɒks/,盒；箱,job,/dʒɒb/
can,/kæn/,能；会,learn,/lɜːn/
card,/kɑːd/,卡片,lesson,/ˈlesn/
chant,/tʃɑːnt/,（有节奏地）唱,letter,/ˈletə/
choose,/tʃuːz/,选择,life,/laɪf/
circle,/ˈsɜːkl/,画圈；圆圈,like,/laɪk/
come,/kʌm/,来,listen,/ˈlɪsn/
connect,/kəˈnekt/,连接,little,/ˈlɪtl/
copy,/ˈkɒpi/,模仿；抄写,match,/mætʃ/
count,/kaʊnt/,数数，计数,member,/ˈmembə/
cross,/krɒs/,打叉,Mr.,/ˈmɪstə/
dad,/dæd/,爸爸,new,/njuː/
daily,/ˈdeɪli/,每日的,of,/ɒv/
dear,/dɪə/,亲爱的,or,/ɔː/
different,/ˈdɪfrənt/,不同的,order,/ˈɔːdə/
do,/duː/,做；助动词,out,/aʊt/
face,/feɪs/,脸,partner,/ˈpɑːtnə/
farm,/fɑːm/,农场,,
