word,meaning,phonetic,example,example_cn
train,火车,/tɹeɪn/,The train is very fast.,火车很快。
cheap,便宜的,/t͡ʃiːp/,Traveling by train is cheap.,乘火车旅行很便宜。
summer,夏天,/ˈsʌmə(ɹ)/,Summer is hot in Fuzhou.,福州夏天很热。
holiday,假期；节日,/ˈhɑləˌdeɪ/,We have a long summer holiday.,我们有一个漫长的暑假。
plane,飞机,/pleɪn/,We go to Beijing by plane.,我们乘飞机去北京。
surprise,惊喜,/səˈpɹaɪz/,What a big surprise!,真是个大惊喜！
turn,转动；转弯,/tɜːn/,Turn right at the corner.,在拐角处右转。
will,将；会,/wɪl/,I will go to Shanghai tomorrow.,我明天要去上海。
I'll=I will,我将会,/aɪl/,I'll visit my grandma.,我要去看我奶奶。
the UK,英国,/ðə ˌjuː ˈkeɪ/,Big Ben is in the UK.,大本钟在英国。
Hong Kong,香港,/ˌhɒŋ ˈkɒŋ/,We will go to Hong Kong.,我们要去香港。
ship,船,/ʃɪp/,The big ship is on the sea.,大船在海上。
