word,meaning,phonetic,example,example_cn
Germany,德意志，德国,,He went to Germany last summer.,他去年夏天去了德国。
God,神，神像；上帝,,They prayed to God for peace.,他们向上帝祈祷和平。
Greek,希腊人；希腊的,,She is learning to read ancient Greek.,她正在学习阅读古希腊语。
I,(主格)我,,I think this is a wonderful idea.,我认为这是个好主意。
India,印度,,India is known for its spicy cuisine.,印度以辛辣美食而闻名。
Indian,印度人；印度的,,She loves watching Indian movies.,她喜欢看印度电影。
Italian,意大利的n意大利人,,Italian food is very popular around the world.,意大利菜在全世界都很受欢迎。
January,一月,,January is the first month of the year.,一月是一年中的第一个月。
Japan,日本，日本国,,Japan has a unique blend of tradition and technology.,日本拥有传统与科技的独特融合。
Japanese,日本人；日本的,,She enjoys eating Japanese food.,她喜欢吃日本料理。
July,七月,,July is usually very hot.,七月通常很热。
June,六月,,School ends in June.,学校在六月放假。
Latin,拉丁的；拉丁语,,Latin is the root of many modern languages.,拉丁语是许多现代语言的根源。
March,三月,,Spring begins in March.,春天从三月开始。
Marxism,马克思主义,,Marxism has influenced political thought around the world.,马克思主义影响了全世界的政治思想。
Marxist,马克思主义的；马克思主义者,,He is a Marxist who studies economic theory.,他是一位研究经济理论的马克思主义者。
Mediterranean,地中海；地中海的,,We sailed across the Mediterranean Sea last summer.,去年夏天我们航行穿过地中海。
Mister,先生,,"Excuse me, Mister, you dropped your wallet.",打扰一下，先生，你掉了钱包。
Monday,星期一,,Monday is the first day of the school week.,星期一是学校每周的第一天。
Negro,黑人,,The term 'Negro' is now considered outdated and offensive.,“Negro”一词现在被认为过时且具有冒犯性。
November,十一月,,November comes after October.,十一月在十月之后。
Oceania,大洋洲,,Oceania includes many islands in the Pacific Ocean.,大洋洲包括太平洋上的许多岛屿。
October,十月,,October is my favorite month.,十月是我最喜欢的月份。
Roman,古罗马人；罗马的,,The ancient Romans built many roads and bridges.,古罗马人修建了许多道路和桥梁。
X-ray,X射线， X光,,The doctor took an X-ray of my chest.,医生给我拍了胸部X光片。
a,一(个)；每一(个),,She has a cat and a dog.,她有一只猫和一条狗。
abandon,丢弃；放弃，抛弃；放任； 纵情；离弃，丢弃；遗弃，抛弃；放弃,,They had to abandon the plan due to bad weather.,由于天气恶劣，他们不得不放弃计划。
ability,能力， 本领； 才能， 才智；能力；能耐，本领,,She has the ability to learn languages quickly.,她有快速学习语言的能力。
able,有能力的；出色的,,He is able to solve the problem by himself.,他能够自己解决这个问题。
abnormal,不正常的；变态的,,The test results showed abnormal cell growth.,检测结果显示细胞生长异常。
aboard,在船(车)上；上船；在船上， 上船,,All passengers are aboard the ship now.,所有乘客现在都在船上了。
about,关于；在…周围,,She is reading a book about history.,她正在读一本关于历史的书。
above,在…上面；高于,,The plane flew above the clouds.,飞机飞在云层之上。
abroad,(在)国外；到处；到国外； 在传播， 在流传,,She wants to study abroad after graduation.,她毕业后想出国留学。
abruptly,突然地,,The conversation ended abruptly when the phone rang.,电话铃响时，谈话突然结束了。
absence,缺席， 不在； 缺席的时间， 外出期； 缺乏， 不存在；缺席，不在场；缺乏,,His absence from the meeting was noticed by everyone.,他缺席会议被大家注意到了。
absent,不在场的；缺乏的；缺席的；缺席的， 不在场的； 缺乏的， 不存在的； 心不在焉的,,Three students were absent from class today.,今天有三个学生缺课。
absolute,十足的， 地道的； 绝对的， 完全的； 不受任何限制的；绝对的；纯粹的,,He has absolute trust in his best friend.,他绝对信任他最好的朋友。
absolutely,完全地；绝对地,,You are absolutely right about that.,在那件事上你完全正确。
absorb,吸收（液体、气体等）；吸收； 吸引…的注意， 使全神贯注； 把…并入， 同化；吸收；使专心,,The sponge can absorb a lot of water.,海绵可以吸收很多水。
abstract,做…的摘要； 提取；抽象的；抽象的，抽象派的；摘要；摘要， 梗概； 抽象派艺术作品,,The artist paints abstract shapes and colors.,这位画家画抽象的图形和色彩。
abundant,丰富的， 富裕的； 大量的， 充足的；丰富的；大量的；大量的，丰富的,,This region has abundant natural resources.,这个地区有丰富的自然资源。
abuse,滥用；滥用，虐待；滥用； 虐待， 伤害； 辱骂， 毁谤；滥用；虐待,,The boss should not abuse his power.,老板不应该滥用他的权力。
academic,学校(院)的，学术的；学院的； 学术的； 纯理论的， 不切实际的；学院的；学术的,,She has a strong academic background in physics.,她在物理学方面有很强的学术背景。
academy,研究会， 学会； 专门学校；私立中学；专科院校,,He studied at a military academy.,他在一所军事学院学习。
accelerate,(使)加快；促进；使加快， 使增速；加速,,The car began to accelerate as it hit the highway.,汽车上了高速公路后开始加速。
acceleration,加速；加速度,,The car's acceleration is very smooth.,这辆车的加速很平稳。
accent,口音， 腔调； 重音；口音，腔调；重音,,She speaks English with a French accent.,她说英语带法国口音。
accept,接受；同意,,I accept your invitation to the party.,我接受你的聚会邀请。
acceptable,可接受的，合意的,,Your work is acceptable but could be better.,你的工作可以接受，但还可以更好。
acceptance,接受，验收；承认；接受； 承认； 容忍,,His acceptance into the university made his family proud.,他被大学录取让家人感到骄傲。
access,存取；接近，入口；接近；通道，入口；接近；通道，入口；接近的机会；获取,,Students have access to the library until 10 pm.,学生可以进入图书馆直到晚上十点。
accessary,同谋，从犯,,He was charged as an accessary to the crime.,他被指控为犯罪的从犯。
accessible,易接近的,,The building is accessible to people in wheelchairs.,这栋建筑对坐轮椅的人可以进入。
accident,意外的；事故；意外， 事故,,He was late because of a car accident.,他因为一场车祸迟到了。
accidental,偶然的， 意外的；偶然的；非本质的,,Their meeting was purely accidental.,他们的相遇纯属偶然。
accommodate,容纳；供应，供给；适合， 提供住宿,,The hotel can accommodate up to three hundred guests.,这家酒店可以容纳多达三百位客人。
accommodation,住处； 膳宿；招待设备；预定铺位,,We need to find accommodation for the night.,我们需要找个住处过夜。
accompany,陪伴；陪伴， 陪同， 伴随； 为…伴奏；陪伴，陪同；伴随,,She asked her friend to accompany her to the store.,她请朋友陪她去商店。
accomplish,完成；达到(目的)；完成；达到； 完成,,He worked hard to accomplish his goal.,他努力工作以实现自己的目标。
accord,一致，符合；谅解，协议；使一致；给予；使符合；使一致；调节；授予，赠与，给予；相符合； 相一致,,The two countries signed a peace accord.,两国签署了和平协议。
accordance,一致； 和谐；一致；和谐；授予,,Everything was done in accordance with the rules.,一切都是按照规则进行的。
according,相等的， 一致的， 依…而定的,,"According to the weather report, it will rain tomorrow.",根据天气预报，明天会下雨。
accordingly,因此， 所以； 照着；因此，所以；照着,,He was told to leave and he acted accordingly.,他被告知离开，他照做了。
account,记述；解释；帐目；记述；解释；账目；说明原因； 占,,She gave a detailed account of what happened.,她详细描述了发生的事情。
accountancy,会计工作； 会计学,,She studied accountancy at university.,她在大学学习会计学。
accountant,会计人员， 会计师,,The accountant is checking the company's financial records.,会计师正在检查公司的财务记录。
accumulate,堆积；积累；积累， 堆积；积累，增加,,Dust can accumulate quickly if you don't clean regularly.,如果不定期打扫，灰尘会很快堆积起来。
accuracy,准确(性)；准确度；准确， 精确,,The accuracy of his calculations was impressive.,他计算的准确性令人印象深刻。
accurate,准确的， 正确无误的；准确的，正确无误的；精确的，准确的,,Please make sure your measurements are accurate.,请确保你的测量准确。
accusation,谴责； 【律】 指控,,She made an accusation against her neighbor.,她对邻居提出了指控。
accuse,指责， 归咎于；指责；归咎于,,He accused his brother of stealing his phone.,他指责弟弟偷了他的手机。
accustom,使习惯,,You need to accustom yourself to the new environment.,你需要让自己适应新环境。
accustomed,惯常的， 习惯的；惯常的；习惯的,,I am not accustomed to eating such spicy food.,我不习惯吃这么辣的食物。
ache,疼痛；疼痛；渴望；痛；想念,,My head aches after staring at the screen all day.,盯着屏幕看了一整天，我头疼。
achieve,完成，实现；完成，实现；达到,,She worked hard to achieve her dream of becoming a doctor.,她努力工作以实现成为医生的梦想。
achievement,完成； 成就， 成绩；完成；成就，成绩,,Winning the award was a great achievement.,赢得这个奖项是一项伟大的成就。
acid,酸；酸的， 酸性的；酸；酸的，酸性的,,Lemon juice contains citric acid.,柠檬汁含有柠檬酸。
acknowledge,承认(…的权威)；承认， 承认…的权威； 告知收到， 确认； 对…表示感谢， 报偿,,He acknowledged that he had made a mistake.,他承认自己犯了一个错误。
acquaint,使认识， 使了解,,Let me acquaint you with our company's policies.,让我让你了解我们公司的政策。
acquaintance,认识， 了解； 熟人；认识；了解；熟人,,"He is just an acquaintance, not a close friend.",他只是个熟人，不是亲密的朋友。
acquire,取得， 获得， 学到；取得；获得；学到；获得,,She acquired a new language in just six months.,她在短短六个月内学会了一门新语言。
acquisition,取得， 获得， 习得； 获得物， 增添的人,,The museum's latest acquisition is a valuable painting.,博物馆最新获得的作品是一幅珍贵的画。
acre,英亩；英亩(=607亩),,They own fifty acres of farmland.,他们拥有五十英亩的农田。
across,横过；在…对面,,The bookstore is across the street.,书店在街对面。
act,行为；行动；见效,,You need to act quickly before it's too late.,你需要迅速行动，否则就太晚了。
action,行动； 已做的事； 作用， 功能； 情节；行动；作用；功能,,Actions speak louder than words.,行动胜于言辞。
active,活跃的， 积极的； 主动的； 起作用的；活跃的；积极的,,My grandfather is still very active for his age.,我的祖父就他的年龄而言仍然非常活跃。
activity,活动； 活力； 行动；活动；活力；行动,,Outdoor activities like hiking are good for your health.,像远足这样的户外活动对你的健康有益。
actor,男演员；演剧的人,,The actor won an award for his performance.,这位演员因他的表演获奖。
actress,女演员,,She is a famous actress in Hollywood.,她是一位好莱坞著名女演员。
actual,实际的；现行的,,The actual cost was higher than we expected.,实际成本比我们预期的要高。
actually,实际上；竟然,,I actually enjoyed the movie more than I thought I would.,我实际上比预想的更喜欢这部电影。
acute,严重的； 急性的； 灵敏的， 敏锐的； 精明的；尖的，锐的；敏锐的；敏锐的,,Dogs have an acute sense of smell.,狗有敏锐的嗅觉。
ad,广告,,I saw an ad for a new smartphone online.,我在网上看到了一则新智能手机的广告。
adapt,使适应； 改编；使适应；改编；适应于,,Animals must adapt to changes in their environment.,动物必须适应环境的变化。
add,添加，附加，掺加,,Please add sugar to my coffee.,请在我的咖啡里加糖。
addiction,上瘾,,He is trying to overcome his addiction to smoking.,他正在努力克服对吸烟的上瘾。
addition,加， 加法； 附加物；加，加法；附加物,,"In addition to English, she speaks French.",除了英语，她还会说法语。
additional,附加的， 追加的；附加的，追加的；额外的,,We need additional time to finish the project.,我们需要额外的时间来完成项目。
address,地址；演说；谈吐；解决,,Please write your address on the envelope.,请在信封上写下你的地址。
adequate,足够的；足够的； 可以胜任的；足够的；可以胜任的,,The supply of food is adequate for everyone.,食物供应足够每个人吃。
adjective,形容词；形容词的,,"In the sentence 'a big house,' 'big' is an adjective.",在'a big house'这个句子中，'big'是一个形容词。
adjust,调整， 调节， 校正；调整，调节；校正,,You can adjust the chair to make it more comfortable.,你可以调节椅子使其更舒适。
administration,管理，政府；管理； 管理部门， 行政机关； 实行， 执行；管理；管理部门,,The school administration announced a new policy.,学校管理部门宣布了一项新政策。
administrative,管理的,,She works as an administrative assistant in a law firm.,她在一家律师事务所做行政助理。
admiration,钦佩，称赞,,I have great admiration for her courage.,我非常钦佩她的勇气。
admire,钦佩， 羡慕； 赞赏， 称赞， 夸奖；钦佩，称赞；钦佩，羡慕，赞赏,,I admire people who work hard for their dreams.,我敬佩为梦想而努力的人。
admission,允许进入； 承认； 入场费， 入场券；允许进入；承认；准许进(加)入；入场费；承认,,The admission fee for the museum is ten dollars.,博物馆的门票是十美元。
admit,承认， 供认； 准许…进入；承认，容许；承认；准许…进入,,He admitted that he had broken the window.,他承认打碎了窗户。
adopt,收养； 采用， 采取； 正式通过， 批准；收养；采用；采取,,They decided to adopt a child from an orphanage.,他们决定从孤儿院领养一个孩子。
adoptive,收养关系的； 采用的,,Her adoptive parents are very supportive.,她的养父母非常支持她。
adult,成年人；成年的；成年的； 成年人的， 适宜于成年人的,,The movie is suitable for adults only.,这部电影只适合成年人观看。
advance,前进，提前；前进；提高；进展,,Technology continues to advance every year.,科技每年都在进步。
advanced,先进的； 高级的； 年迈的； 后阶段的；先进的；高级的；高级的,,She is taking an advanced English course.,她正在上高级英语课程。
advancement,进步，提升,,Hard work is the key to career advancement.,努力工作是在职业上取得进步的关键。
advantage,优点， 优势， 好处；优点，优势；好处,,Being tall is an advantage in basketball.,个子高是打篮球的一个优势。
adventure,冒险；惊险活动；奇遇； 冒险， 冒险活动,,They went on an exciting adventure in the jungle.,他们在丛林中进行了一次激动人心的冒险。
adverb,副词,,"The word ""quickly"" is an adverb.","""快速地""这个词是一个副词。"
adversity,逆境，不幸,,She stayed strong in the face of adversity.,她在逆境中依然坚强。
advertise,为…做广告， 宣传； 公告； 登广告,,Companies advertise their products on television.,公司在电视上为他们的产品做广告。
advertisement,广告， 公告， 登广告； 广告活动， 宣传；广告；公告；登广告,,I saw an advertisement for a new smartphone.,我看到了一则新智能手机的广告。
advice,劝告；忠告；意见；建议,,My father gave me some good advice about life.,我父亲给了我一些关于人生的好建议。
advisable,明智的， 可取的；明智的；可取的,,It is advisable to save money for emergencies.,存钱以备不时之需是明智的。
advise,劝告；建议；通知,,The doctor advised me to exercise more.,医生建议我多运动。
advisory,报告,,The government issued a weather advisory for the storm.,政府针对这场风暴发布了天气预警。
advocate,倡导；拥护者， 提倡者； 辩护者， 律师；拥护， 提倡， 主张,,She advocates for equal rights for everyone.,她倡导人人享有平等权利。
advocator,主张者，倡导者,,He is a strong advocator of environmental protection.,他是环境保护的坚定倡导者。
aeroplane,飞机,,The aeroplane took off from the runway smoothly.,飞机平稳地从跑道上起飞了。
affair,事情，事件；事务,,The wedding was a beautiful affair.,那场婚礼是一件美好的事情。
affect,影响； 感动；影响；感动,,The weather can affect your mood.,天气会影响你的心情。
affection,感情； 爱， 爱慕；慈爱，爱；爱慕,,She has great affection for her younger brother.,她对她的弟弟有很深的感情。
affectionate,深情的，柔情的,,He gave his daughter an affectionate hug.,他给了女儿一个充满深情的拥抱。
affirm,断言，声明,,The witness affirmed that she saw the accident.,证人肯定地表示她看到了那起事故。
affirmation,断言，肯定,,His affirmation gave me confidence in my decision.,他的肯定让我对自己的决定有了信心。
afford,担负得起…；提供；担负得起； 提供；负担得起,,I can not afford to buy a new car right now.,我现在买不起一辆新车。
afraid,害怕的；担心的,,Do not be afraid to ask questions in class.,不要害怕在课堂上提问。
after,在…以后；次于,,We went for a walk after dinner.,晚饭后我们去散了步。
afternoon,下午，午后,,I will meet you at the library this afternoon.,我今天下午在图书馆和你见面。
afterward,后来， 以后；后来，以后,,We had lunch and afterward went to the park.,我们吃了午饭，之后去了公园。
again,又一次；而且,,"Please say that again, I did not hear you.",请再说一遍，我没听清。
against,倚在；逆，对着,,He leaned his bicycle against the wall.,他把自行车靠在墙上。
age,变老；年龄；时代,,She started learning piano at the age of six.,她六岁时开始学钢琴。
agency,机构；经办， 代理； 代理处； 专门行政部门；经办；代理；代理处,,She works for a travel agency.,她在一家旅行社工作。
agenda,议事日程,,The first item on the agenda is the budget.,议程上的第一项是预算。
agent,代理人， 代理商； 政府代表； 动因， 原因； 剂；代理人，代理商；代理商,,The travel agent booked our hotel rooms.,旅行代理为我们预订了酒店房间。
aggressive,侵略的， 好斗的； 敢做敢为的； 有进取心的；侵略的；好斗的；挑衅的，好斗的；有上进心的,,"The salesperson was too aggressive, so I left the store.",那个销售员太咄咄逼人了，所以我离开了商店。
ago,以前,,We moved to this city two years ago.,我们两年前搬到了这个城市。
agony,极度痛苦,,He was in agony after breaking his leg.,他摔断腿后陷入了极大的痛苦之中。
agree,同意；持相同意见,,I agree with your opinion about the movie.,我同意你对这部电影的看法。
agreement,协定，协议；同意,,The two companies signed a business agreement.,两家公司签署了一份商业协议。
agriculture,农业， 农学；农业，农艺；农学,,Agriculture is important for feeding the population.,农业对养活人口很重要。
ahead,在前；向前；提前,,There is a long road ahead of us.,我们前面还有很长的路。
aid,帮助，救护；助手；帮助； 救护； 助手； 辅助手段,,The government sent aid to the flood victims.,政府向洪水灾民提供了援助。
aim,瞄准，针对；致力,,His aim is to become a doctor.,他的目标是成为一名医生。
air,空气；空中；外观,,The fresh air in the mountains is very clean.,山里的新鲜空气非常干净。
aircraft,飞机， 飞行器；飞机，飞行器,,The aircraft flew at a very high altitude.,飞机在很高的高度飞行。
airline,航空公司； 航线；航空公司；航线,,Which airline are you flying with?,你乘坐哪家航空公司的航班？
airplane,飞机,,The airplane landed safely at the airport.,飞机安全降落在机场。
airport,机场， 航空港；机场，航空站,,We arrived at the airport two hours early.,我们提前两小时到达了机场。
alarm,使惊恐； 使担心；惊恐，忧虑；警报；惊恐；忧虑；警报,,I set the alarm for seven o'clock in the morning.,我把闹钟定在早上七点。
album,粘贴簿，集邮簿，像册,,She showed me her photo album from the trip.,她给我看了她旅行的相册。
alcohol,酒精；酒精， 乙醇；酒精，乙醇,,You must be at least 21 years old to buy alcohol.,你必须年满21岁才能购买酒精饮料。
alert,使认识到，使意识到；提醒；；机警的；警戒， 戒备； 警报；警觉的，留神的，注意的,,The teacher alerted the students about the fire drill.,老师提醒学生们注意消防演习。
alike,一样地， 相似地； 同样程度地；同样的，相同的,,The two sisters look very much alike.,这对姐妹长得非常像。
alive,活着的；活跃的,,"Luckily, the driver was still alive after the crash.",幸运的是，司机在撞车后还活着。
all,全部；全部的,,All of the students passed the exam.,所有的学生都通过了考试。
alliance,结盟， 联盟,,The two countries formed a military alliance.,这两个国家结成了军事联盟。
allocate,分配， 分派， 把…拨给,,The manager allocated tasks to each team member.,经理给每个团队成员分配了任务。
allow,允许， 准许； 同意给； 承认； 允许…进入；允许，准许；任,,My parents do not allow me to stay out late.,我父母不允许我在外面待到很晚。
allowance,津贴， 补贴； 零用钱,,She receives a weekly allowance for doing chores.,她做家务每周能得到零花钱。
alloy,合金；(金属的)成色,,Steel is an alloy of iron and carbon.,钢是铁和碳的合金。
ally,同盟国， 同盟者； 支持者；结盟， 联合,,The United Kingdom is a close ally of the United States.,英国是美国的亲密盟友。
almost,几乎，差不多,,We have almost finished the project.,我们几乎完成了这个项目。
alone,单独地；单独的,,She enjoys spending time alone reading books.,她喜欢独自一人看书。
along,向前；沿着,,We walked along the beach at sunset.,日落时分我们沿着海滩散步。
alongside,在…旁边， 沿着…的边； 和…在一起；在旁边，沿着边，并排地,,The dog walked alongside its owner.,狗走在主人旁边。
aloud,出声地，大声地,,The teacher asked the student to read the poem aloud.,老师让那个学生大声朗读这首诗。
alphabet,字母表， 字母系统；字母表，字母系统,,Children learn the alphabet in kindergarten.,孩子们在幼儿园学习字母表。
already,早已，已经,,I have already finished my homework.,我已经完成了我的家庭作业。
also,亦，也；而且，还,,She is a talented singer and also plays the guitar.,她是一位有才华的歌手，还会弹吉他。
alter,改变；改变， 变更， 变动；改变，变更；改做,,We had to alter our plans because of the rain.,因为下雨，我们不得不改变计划。
alternative,两者选一的， 供选择的； 另类的；代替品；替换物，选择；选择的自由；替换物；取舍，抉择,,We need to find an alternative route to avoid traffic.,我们需要找到另一条路线来避免堵车。
although,尽管，虽然,,"Although it was raining, we went for a walk.",尽管下雨了，我们还是去散了步。
altitude,海拔, 高度；海拔， 高度； 高处；高，高度；高处,The plane is flying at an altitude of 10000 meters.,飞机正在一万米的高度飞行。,
altogether,完全；总而言之,,That is altogether a different matter.,那完全是另一回事。
aluminium,铝,,Aluminium is a lightweight metal used in cans.,铝是一种用于制造罐头的轻质金属。
always,总是，一直；永远,,She always arrives on time for class.,她总是准时上课。
amateur,业余爱好的， 业余的； 外行的；业余爱好者；外行,,He is an amateur photographer who loves taking pictures of nature.,他是一位业余摄影师，喜欢拍摄自然风景。
amaze,使吃惊；使惊奇， 使惊愕；使惊奇，使惊愕,,The magician's tricks amazed the audience.,魔术师的戏法让观众感到惊奇。
ambassador,大使， 使节， 派驻国际组织的代表,,The French ambassador attended the meeting.,法国大使出席了会议。
ambition,雄心， 抱负； 野心； 期望得到的东西；雄心，抱负，野心,,Her ambition is to start her own business someday.,她的抱负是有一天开创自己的事业。
ambitious,有雄心的，野心勃勃的,,He is an ambitious young man who wants to change the world.,他是一个有雄心壮志的年轻人，想要改变世界。
ambulance,救护车； 野战医院；救护车；野战医院,,An ambulance took the injured man to the hospital.,一辆救护车把受伤的男子送到了医院。
amid,在…中间， 在…之中， 被…围绕,,He remained calm amid all the chaos.,在一片混乱中他依然保持冷静。
among,在…之中,,She is very popular among her classmates.,她在同学当中很受欢迎。
amongst,在…之中；在…之中(=among),,The letter was found amongst some old papers.,那封信是在一些旧文件中找到的。
amount,总数；数量；和,,The total amount of the bill is fifty dollars.,账单的总金额是五十美元。
ampere,安培,,This wire can carry up to ten amperes of current.,这根电线最多能承载十安培的电流。
amplify,放大，增强；扩大,,A microphone amplifies your voice so everyone can hear.,麦克风放大你的声音，让每个人都能听到。
amuse,逗…乐， 给…娱乐；逗…乐；给…娱乐,,The clown amused the children at the party.,小丑在派对上逗孩子们开心。
amusing,有趣的，好玩儿的,,We watched an amusing movie last night.,昨晚我们看了一部有趣的电影。
analyse,分析，分解，解析；分析； 分解； 解析,,Scientists analyse data to find patterns.,科学家分析数据以寻找规律。
analysis,分析， 分析报告； 分解； 解析；分析，分解，解析,,The analysis of the blood sample showed no disease.,血液样本的分析显示没有疾病。
analyze,分析,,We need to analyze the problem before making a decision.,在做决定之前，我们需要分析这个问题。
ancestor,祖宗， 祖先； 原型； 先驱；祖宗，祖先,,My ancestors came from China over a hundred years ago.,我的祖先在一百多年前来自中国。
anchor,抛锚， 停泊； 把…系住， 使固定； 担任主持人； 固定， 扎根；抛锚，停泊；锚；锚；给人安全感的物,,The ship dropped anchor in the harbor.,船在港口抛锚停泊。
ancient,古代的；古代的， 古老的； 年老的， 看上去很老的；古代的，古老的,,The ancient city of Rome has a long history.,古罗马城有着悠久的历史。
and,和，又，并，则,,I bought apples and oranges at the store.,我在商店买了苹果和橙子。
angel,天使，神差，安琪儿,,The little girl dressed as an angel for Halloween.,那个小女孩在万圣节打扮成天使。
anger,使发怒；怒，愤怒,,He tried to control his anger during the argument.,他在争论中努力控制自己的愤怒。
angle,角， 角度； 观点， 立场；角，角度,,Look at the problem from a different angle.,从不同的角度来看这个问题。
angry,愤怒的，生气的,,My mother was angry when I broke the vase.,我打碎花瓶时，妈妈很生气。
animal,动物的；动物，兽,,Lions are wild animals that live in Africa.,狮子是生活在非洲的野生动物。
ankle,踝， 踝关节；踝，踝节部,,I twisted my ankle while playing soccer.,我踢足球时扭伤了脚踝。
anniversary,周年纪念日,,Today is my parents' twentieth wedding anniversary.,今天是我父母结婚二十周年纪念日。
announce,宣布，声称；宣布，宣告，发表,,The principal will announce the winner tomorrow.,校长明天将宣布获胜者。
announcer,宣告者；播音员,,The announcer introduced the next singer on stage.,播音员介绍了下一位上台的歌手。
annoy,使反感，厌烦；使恼怒； 打搅；使恼怒；打搅,,The constant noise from the street annoys me.,街上不断的噪音让我很烦。
annual,年报；年报， 年鉴； 一年生的植物；每年的；每年的，一年一次的,,The company holds an annual party for all employees.,公司为所有员工举办一年一度的聚会。
annually,每年，一年一次,,The festival is held annually in the month of May.,这个节日每年五月举行。
anonymous,匿名的； 无名的； 无特色的,,The donation came from an anonymous person.,这笔捐款来自一位匿名人士。
another,再一个的；别的,,Would you like another cup of tea?,你想再来一杯茶吗？
answer,回答；响应；适应,,Please answer the question honestly.,请诚实地回答这个问题。
ant,蚂蚁,,An ant can carry objects much heavier than itself.,蚂蚁能搬运比自己重得多的东西。
anticipate,预感；预料， 预期， 期望； 先于…行动； 提前使用；预料，预期，期望,,We anticipate a large crowd at the concert tonight.,我们预计今晚的音乐会会有大量观众。
antique,古时的， 过时的；古物，古董；古玩，古董,,This antique vase is over two hundred years old.,这个古董花瓶有超过两百年的历史了。
anxiety,焦虑， 忧虑； 渴望， 热望；焦虑，忧虑；渴望,,She felt a lot of anxiety before her final exam.,她在期末考试前感到非常焦虑。
anxious,忧虑的， 令人焦急的； 渴望的；忧虑的；渴望的,,He was anxious to hear the test results.,他急切地想知道考试结果。
any,什么，一些；任何的,,Do you have any questions about the lesson?,你对这节课有什么问题吗？
anybody,任何人,,Anybody can learn to cook if they practice enough.,任何人如果练习足够都可以学会做饭。
anyhow,无论如何；无论如何， 不管怎么说； 随随便便地， 杂乱无章地,,"It started raining, but we went outside anyhow.",开始下雨了，但我们还是出去了。
anyone,任何人,,Is anyone home right now?,现在有人在家吗？
anything,任何事物；一切,,I am so hungry I could eat anything.,我太饿了，什么都能吃得下。
anyway,无论如何；无论如何， 至少； 不论以何种方式， 无论从什么角度,,"I do not need the book anyway, so you can keep it.",反正我不需要这本书，所以你留着吧。
anywhere,在什么地方,,I can not find my keys anywhere.,我哪儿都找不到我的钥匙。
apart,分离的， 分隔的；成距离，相间隔；分开，除去；相隔；分开；除去,,The two houses are five kilometers apart.,这两栋房子相隔五公里。
apartment,一套公寓房间；公寓,,They live in a small apartment on the third floor.,他们住在三楼的一间小公寓里。
