word,meaning,phonetic,example,example_cn
car,小汽车；轿车,/kɑː/,My father has a car.,我爸爸有一辆小汽车。
when,什么时候,/wen/,When do you have lunch?,你什么时候吃午饭？
football,足球,[fʷʊʔt̚bɑɫ],We play football after school.,我们放学后踢足球。
has,有（have的第三人称单数）,/hæz/,She has breakfast at seven.,她七点吃早饭。
garden,花园,/ˈɡɑːdn̩/,There are flowers in the garden.,花园里有花。
sweep,扫,/swiːp/,I sweep the floor every day.,我每天扫地。
floor,地板；层,/flɔː/,Our classroom is on the first floor.,我们的教室在一楼。
chore,家务,/tʃɔː/,I help with chores at home.,我在家帮忙做家务。
pick up,收拾；拾起,/pɪk ʌp/,"Pick up your toys, please.",请把你的玩具收拾好。
wash,洗,/wɑʃ/,I wash my hands before dinner.,我饭前洗手。
toilet,卫生间；厕所,/ˈtɔɪ.lət/,The toilet is over there.,卫生间在那边。
gym,健身房；体育馆,/dʒɪm/,We play basketball in the gym.,我们在体育馆打篮球。
age,年龄,年龄,What's your age?,你多大了？
often,经常,/ˈɑf(t)ən/,I often read books after dinner.,我经常晚饭后看书。
talk,说话；谈论,/toːk/,We talk about our school.,我们谈论我们的学校。
her,她的,/ə(ɹ)/,Her name is Lucy.,她的名字叫露西。
sometimes,有时,/ˈsʌmtaɪmz/,Sometimes I go to the park.,有时我去公园。
ball,球,/bɔːl/,The ball is under the tree.,球在树下。
hand,手,/hænd/,"Wash your hands, please.",请洗手。
house,房子,/hʌʊs/,This is my house.,这是我的房子。
hobby,爱好,/ˈhɑ.bi/,My hobby is reading.,我的爱好是读书。
their,他们的；她们的；它们的,/ðeə(r)/,Their hobbies are different.,他们的爱好各不相同。
interesting,有意思的；有趣的,/ˈɪnt(ə)ɹɛstɪŋ/,This book is very interesting.,这本书很有趣。
wonderful,极好的,/ˈwʌn.də.fl/,What a wonderful day!,多么美好的一天！
basketball,篮球,/ˈbɑːs.kɪt.bɔːl/,I like playing basketball.,我喜欢打篮球。
China,中国,/tʃʌɪnə/,I am from China.,我来自中国。
they're=they are,他们是；她们是；它们是,/ðeə(r)/,They're my good friends.,他们是我的好朋友。
kung fu,功夫,/ˌkʌŋ ˈfuː/,He can do kung fu.,他会功夫。
Peking opera,中国京剧,/ˌpiːkɪŋ ˈɒpərə/,My grandma likes Peking opera.,我奶奶喜欢京剧。
ping-pong,乒乓球,/ˈpɪŋ pɒŋ/,We play ping-pong on Sunday.,我们星期天打乒乓球。
he's=he is,他是,/hiːz/,He's my brother.,他是我哥哥。
tree,树,/tɹiː/,There is a big tree in the yard.,院子里有一棵大树。
lake,湖,/leɪk/,We can see a lake in the park.,我们在公园里能看到一个湖。
learn,学习,/lɜːn/,We learn English at school.,我们在学校学英语。
a lot,许多,/ə lɒt/,I learn a lot from books.,我从书中学到很多。
from,来自,/fɹɒm/,Where are you from?,你来自哪里？
also,也,/ˈɔːl.səʊ/,I also like music.,我也喜欢音乐。
collect,收集,/kəˈlɛkt/,I collect stamps.,我收集邮票。
stamp,邮票,/stæmp/,This is a Chinese stamp.,这是一张中国邮票。
thing,东西；事物,/θɪŋ/,What's that thing over there?,那边那个东西是什么？
listen,听,/ˈlɪs.ən/,"Listen to me, please.",请听我说。
music,音乐,/ˈmjuːzɪk/,I like pop music.,我喜欢流行音乐。
song,歌；歌曲,/sɑŋ/,This is a nice song.,这是一首好听的歌。
tail,尾巴,/teɪl/,The dog has a short tail.,这只狗有一条短尾巴。
festival,节日,/ˈfɛstəvəl/,The Spring Festival is a big festival.,春节是一个盛大的节日。
Spring Festival,春节,/ˈsprɪŋ ˈfestɪvl/,We have fun at Spring Festival.,春节我们玩得很开心。
before,在……之前,/bɪˈfɔː/,Wash hands before eating.,饭前洗手。
put up,张贴,/pʊt ʌp/,We put up red paper on the door.,我们在门上贴红纸。
luck,运气,/lʊk/,Good luck to you!,祝你好运！
else,其他的；此外,/els/,What else do you do?,你还做什么别的？
buy,买,/baɪ/,We buy new clothes before the festival.,节日前我们买新衣服。
dumpling,饺子,/ˈdʌmplɪŋ/,We make dumplings on New Year's Eve.,除夕我们包饺子。
gala,盛会；庆典,/ˈɡɑːlə/,We watch the Spring Festival Gala.,我们看春节联欢晚会。
dragon,龙,/ˈdræɡən/,The dragon dance is wonderful.,舞龙很精彩。
say,说,/seɪ/,"We say ""Happy New Year!"" to each other.","我们互相说""新年快乐！"""
them,他们；她们；它们（宾格）,/eem/,Let's help them.,我们来帮助他们吧。
any,任何的；任一的,/ˈæni/,Do you have any questions?,你有什么问题吗？
lucky,幸运的,/ˈlʌki/,You are a lucky boy.,你是个幸运的男孩。
money,钱,/ˈmʌni/,Kids get lucky money.,孩子们得到压岁钱。
lantern,灯笼,/ˈlæn.tən/,We hang red lanterns.,我们挂红灯笼。
riddle,谜语,/ˈɹɪdəl/,We guess lantern riddles.,我们猜灯谜。
Lantern Festival,元宵节,/ˈlæntən ˈfestɪvl/,The Lantern Festival is in January or February.,元宵节在一月或二月。
Dragon Boat Festival,端午节,/ˈdræɡən bəʊt ˈfestɪvl/,We eat zongzi at Dragon Boat Festival.,端午节我们吃粽子。
Mid-Autumn Festival,中秋节,/ˌmɪd ˈɔːtəm ˈfestɪvl/,We watch the moon at Mid-Autumn Festival.,中秋节我们赏月。
fair,庙会,/feː(ə)/,We go to the fair on holidays.,假期我们去逛庙会。
boat,小船；划船,/bəʊt/,There is a boat on the river.,河上有一条小船。
race,赛跑；速度竞赛,/ɹeɪs/,We have dragon boat races.,我们举行龙舟赛。
try,尝试,/tɹaɪ/,"Try this dumpling, please.",请尝尝这个饺子。
map,地图,/mæp/,This is a map of China.,这是一张中国地图。
sleep,睡觉,/sliːp/,We sleep early on weekdays.,工作日我们早睡。
merry,快乐的,/ˈmɛɹi/,Merry Christmas!,圣诞快乐！
Christmas,圣诞节,/ˈkrɪsməs/,Christmas is on December 25th.,圣诞节在12月25日。
moon,月亮,/muːn/,The moon is round and bright.,月亮又圆又亮。
mooncake,月饼,/ˈmuːnkeɪk/,We eat mooncakes at Mid-Autumn Festival.,中秋节我们吃月饼。
hope,希望,/həʊp/,I hope you have a good time.,希望你玩得开心。
join,参加,/ˈdʒɔɪn/,Come and join us!,来加入我们吧！
best,最好的,/best/,This is the best day of the year.,这是一年中最好的一天。
yours,你（们）的（东西）,/jɔː(ɹ)z/,This book is yours.,这本书是你的。
quiet,安静的,/ˈkwaɪ.ət/,Please be quiet in the library.,在图书馆请保持安静。
