word,meaning,phonetic,example,example_cn
milk,（牛或羊等的）奶,/mɪlk/,I drink a glass of milk every morning.,我每天早上喝一杯牛奶。
noodle,（常用复数）面条,/ˈnuːdl/,,
juice,果汁,/dʒuːs/,I always drink orange juice for breakfast.,我早餐总喝橙汁。
rice,大米,/raɪs/,We eat rice almost every day.,我们几乎每天都吃米饭。
meat,肉,/miːt/,,
vegetable,蔬菜,/ˈvedʒtəbl/,You should eat more vegetables.,你应该多吃蔬菜。
healthy,健康的,/ˈhelθi/,Eating vegetables is healthy.,吃蔬菜是健康的。
plate,盘子,/pleɪt/,Please put the plates on the table.,请把盘子放在桌子上。
soup,汤,/suːp/,I like to eat hot soup in winter.,冬天我喜欢喝热汤。
fruit,水果,/fruːt/,Eating fresh fruit is good for your health.,吃新鲜水果对你的健康有好处。
colourful,五彩缤纷的,/ˈkʌləfl/,The garden is full of colourful flowers in spring.,春天花园里开满了色彩缤纷的花朵。
candy,糖果,/ˈkændi/,The children each got a piece of candy.,每个孩子都得到了一颗糖。
yummy,很好吃的,/ˈjʌmi/,The pizza is very yummy.,这披萨很好吃。
at,在（某处）,/æt/,I will meet you at the bus stop at three o'clock.,我三点钟在公交车站和你见面。
home,家；住所,/həʊm/,,
boat,小船；舟,/bəʊt/,We took a boat across the lake.,我们乘船过了湖。
cool,酷的，绝妙的,/kuːl/,"It is cool in autumn, perfect for a walk.",秋天很凉爽，非常适合散步。
keep,保有；留着,/kiːp/,Please keep your room clean and tidy.,请保持你的房间干净整洁。
ball,球,/bɔːl/,The children played with a red ball in the yard.,孩子们在院子里玩一个红色的球。
doll,玩偶；玩具娃娃,/dɒl/,The little girl loves her new doll.,那个小女孩喜欢她的新玩具娃娃。
car,小汽车；轿车,/kɑː(r)/,My father drives a red car to work.,我父亲开一辆红色汽车去上班。
on,在……上,/ɒn/,The book is on the table.,书在桌子上。
shelf,架子,/ʃelf/,Put the books back on the shelf after you finish reading.,看完后把书放回书架上。
in,在……内；在……中,/ɪn/,The keys are in my bag.,钥匙在我的包里。
box,盒子,/bɒks/,I put the gift in a small box.,我把礼物放在一个小盒子里。
cap,帽子,/kæp/,He wears a baseball cap to block the sun.,他戴着一顶棒球帽遮挡阳光。
map,地图,/mæp/,We used a map to find our way through the forest.,我们用地图找路穿过森林。
under,在（或到、通过）……下面,/ˈʌndə(r)/,The cat is under the table.,猫在桌子下面。
still,还是；仍然,/stɪl/,He is still sleeping.,他还在睡觉。
put,放；安置,/pʊt/,Please put your books on the desk.,请把你的书放在书桌上。
now,现在,/naʊ/,We need to leave now.,我们现在需要离开了。
eleven,十一,/ɪˈlevn/,There are eleven players on a football team.,一支足球队有十一名队员。
twelve,十二,/twelv/,There are twelve months in a year.,一年有十二个月。
thirteen,十三,/ˌθɜːˈtiːn/,There are thirteen students in the class.,班里有十三个学生。
fourteen,十四,/ˌfɔːˈtiːn/,She is fourteen years old and in middle school.,她十四岁，在上中学。
fifteen,十五,/ˌfɪfˈtiːn/,There are fifteen students in the class.,班上有十五名学生。
sixteen,十六,/ˌsɪksˈtiːn/,There are sixteen students in the classroom.,教室里有十六个学生。
seventeen,十七,/ˌsevnˈtiːn/,She is seventeen years old and in high school.,她十七岁，在读高中。
eighteen,十八,/ˌeɪˈtiːn/,She is eighteen years old.,她十八岁。
nineteen,十九,/ˌnaɪnˈtiːn/,She is nineteen years old and just started college.,她十九岁，刚上大学。
twenty,二十,/ˈtwenti/,Twenty students are in the classroom.,教室里有二十名学生。
choose,选择；挑选,/tʃuːz/,,
save,储蓄；攒钱,/seɪv/,,
spend,用，花（钱）,/spend/,,
piggy bank,猪形储钱罐,/ˈpɪɡi bæŋk/,,
pay,付费,/peɪ/,I need to pay the bill before we leave.,我们离开前我需要付账。
