Alaska,阿拉斯加州,/əˈlæskə/,Alaska is the largest state in the United States.,阿拉斯加是美国面积最大的州。
sled,雪橇,/sled/,The children played with a sled in the snow.,孩子们在雪地里玩雪橇。
fast,快的,/fɑːst/,The car was driving very fast on the highway.,那辆车在高速公路上开得很快。
ferry,轮渡,/ˈferi/,We took a ferry across the river.,我们坐轮渡过了河。
Scotland,苏格兰,/ˈskɒtlənd/,Scotland is part of the United Kingdom.,苏格兰是联合王国的一部分。
visit,拜访,/ˈvɪzɪt/,I want to visit my grandmother.,我想去看望我的祖母。
see a film,看电影,,Let us go to see a film this weekend.,我们这个周末去看电影吧。
take a trip,去旅行,,We plan to take a trip to the beach.,我们计划去海边旅行。
supermarket,超市,/ˈsuːpəmɑːkɪt/,I buy food at the supermarket.,我在超市买食物。
tonight,在今晚,/təˈnaɪt/,I will do my homework tonight.,我今晚会做作业。
tomorrow,明天,/təˈmɒrəʊ/,We have a test tomorrow.,我们明天有一场考试。
next week,下周,,We will have a test next week.,我们下周有一场考试。
dictionary,词典,/ˈdɪkʃənri/,I look up new words in my dictionary.,我在词典里查生词。
comic,滑稽的,/ˈkɒmɪk/,He told a comic story that made everyone laugh.,他讲了一个滑稽的故事，逗得大家都笑了。
comic book,（儿童的）连环画册,,I like to read comic books about superheroes.,我喜欢看关于超级英雄的漫画书。
word,单词,/wɜːd/,,
word book,单词书,,I use a word book to learn English.,我用单词书学英语。
postcard,明信片,/ˈpəʊstkɑːd/,She sent me a postcard from Beijing.,她从北京给我寄了一张明信片。
space,太空,/speɪs/,Astronauts travel to space in a rocket.,宇航员乘坐火箭去太空。
travel,（尤指长途）旅行,/ˈtrævl/,I want to travel around the world.,我想环游世界。
half,一半,/hɑːf/,Please give me half of the apple.,请把苹果分我一半。
price,价格,/praɪs/,The price of gas has gone up.,汽油价格上涨了。
Mid-Autumn Festival,中秋节,,We eat mooncakes during Mid-Autumn Festival.,我们在中秋节期间吃月饼。
mooncake,月饼,,We shared a mooncake during the festival.,我们在节日里分吃了一个月饼。
poem,诗,/ˈpəʊɪm/,She wrote a beautiful poem about love.,她写了一首关于爱的优美诗歌。
moon,月亮,/muːn/,The full moon shone brightly in the clear night sky.,满月在晴朗的夜空中明亮地照耀着。
studies,学习,/ˈstʌdiz/,He studies English every evening.,他每天晚上学习英语。
puzzle,谜,/ˈpʌzl/,This puzzle has one thousand pieces.,这个拼图有一千片。
hiking,远足,/ˈhaɪkɪŋ/,We enjoy hiking in the forest.,我们喜欢在森林里远足。
pen pal,笔友,,I write letters to my pen pal in Canada.,我给我在加拿大的笔友写信。
hobby,业余爱好,/ˈhɒbi/,My hobby is reading books.,我的爱好是读书。
jasmine,茉莉,/ˈdʒæzmɪn/,The jasmine flowers smell so sweet.,茉莉花闻起来很香。
idea,想法；主意,/aɪˈdɪə/,That is a great idea for the party.,那是一个派对的好主意。
Canberra,堪培拉（澳大利亚首都）,,Canberra is the capital city of Australia.,堪培拉是澳大利亚的首都。
amazing,令人惊奇的,/əˈmeɪzɪŋ/,The view from the top was amazing.,山顶的景色令人惊叹。
shall,表示征求意见,/ʃæl/,Shall we go for a walk in the park?,我们去公园散散步好吗？
goal,射门,/ɡəʊl/,He scored the winning goal in the final minute.,他在最后一分钟进了制胜的一球。
join,加入,/dʒɔɪn/,Would you like to join our team?,你想加入我们的团队吗？
club,俱乐部,/klʌb/,I joined the chess club at my school.,我加入了学校的象棋俱乐部。
share,分享,/ʃeə(r)/,Please share your snacks with your sister.,请和你妹妹分享你的零食。
factory,工厂,/ˈfæktri/,My father works in a car factory.,我父亲在一家汽车工厂工作。
worker,工人,/ˈwɜːkə(r)/,Your father is a hard worker.,你父亲是个勤劳的工人。
postman,邮递员,/ˈpəʊstmən/,The postman delivers letters every morning.,邮递员每天早上送信。
businessman,商人；企业家,/ˈbɪznəsmæn/,The businessman flew to Shanghai for a meeting.,那位商人飞往上海开会。
fisherman,渔民,/ˈfɪʃəmən/,The fisherman caught a big fish this morning.,渔夫今天早上捕到了一条大鱼。
scientist,科学家,/ˈsaɪəntɪst/,The scientist discovered a new kind of star.,这位科学家发现了一种新的恒星。
pilot,飞行员,/ˈpaɪlət/,The pilot is flying the plane to Beijing.,飞行员正驾机飞往北京。
coach,教练,/kəʊtʃ/,Our basketball coach taught us a new play.,我们的篮球教练教了我们一个新战术。
country,国家,/ˈkʌntri/,China is a large country with a long history.,中国是一个历史悠久的大国。
head teacher,校长,,Our head teacher gave a speech at the assembly.,我们的校长在集会上发表了讲话。
sea,大海,/siː/,We went swimming in the sea on our holiday.,我们度假时去海里游泳了。
university,大学,/ˌjuːnɪˈvɜːsəti/,She wants to go to university.,她想上大学。
gym,体育馆,/dʒɪm/,He goes to the gym three times a week.,他每周去体育馆三次。
reporter,记者,/rɪˈpɔːtə(r)/,The reporter asked the president several questions during the press conference.,记者在记者招待会上问了总统几个问题。
use,使用,/juːz/,May I use your pen?,我可以用一下你的钢笔吗？
type,打字,/taɪp/,What type of music do you like?,你喜欢什么类型的音乐？
quickly,迅速地,/ˈkwɪkli/,He quickly finished his homework and went out to play.,他迅速完成了作业，然后出去玩。
secretary,秘书,/ˈsekrətri/,The secretary typed a letter for the boss.,秘书为老板打了一封信。
angry,生气的,/ˈæŋɡri/,My mother was angry when I broke the vase.,我打碎花瓶时，妈妈很生气。
afraid,害怕,/əˈfreɪd/,Do not be afraid to ask questions in class.,不要害怕在课堂上提问。
sad,难过的,/sæd/,He felt sad when his friend moved away.,他的朋友搬走后，他感到很难过。
worried,担心的；发愁的,/ˈwʌrid/,She is worried about the exam.,她很担心考试。
happy,高兴的,/ˈhæpi/,I am very happy to see you.,我很高兴见到你。
see a doctor,看病,,You should see a doctor if your leg still hurts.,如果你的腿还疼，应该去看医生。
more,更多的,/mɔː(r)/,I need more time to finish this assignment.,我需要更多的时间来完成这项作业。
deep,深的,/diːp/,The river is too deep to cross on foot.,这条河太深了，不能徒步过河。
breath,呼吸,/breθ/,Take a deep breath before you start singing.,开始唱歌前深吸一口气。
take a deep breath,深深吸一口气,,Take a deep breath and relax.,深深吸一口气，放松一下。
count,数数,/kaʊnt/,The little girl can count from one to ten.,那个小女孩能从一数到十。
count to ten,数到十,,Please count to ten before you open your eyes.,请数到十再睁开眼睛。
chase,追赶,/tʃeɪs/,The dog likes to chase the ball in the park.,那只狗喜欢在公园里追球。
mice,老鼠,/maɪs/,There were three mice in the kitchen.,厨房里有三只老鼠。
hurt,（使）受伤,/hɜːt/,Be careful with that knife or you might hurt yourself.,小心那把刀，否则你可能会伤到自己。
ill,有病；不舒服,/ɪl/,/il/,
should,应该,/ʃʊd/,You should brush your teeth before bed.,你应该在睡觉前刷牙。
feel,觉得；感到,/fiːl/,I feel happy when I listen to music.,我听音乐时感到快乐。
well,健康；身体好,/wel/,I hope you get well soon.,希望你早日康复。
sit,坐,/sɪt/,Please sit down and open your books.,请坐下，打开你们的书。
ant,蚂蚁,/ænt/,An ant can carry objects much heavier than itself.,蚂蚁能搬运比自己重得多的东西。
stuck,陷住；无法移动,/stʌk/,The key is stuck in the lock.,钥匙卡在锁里了。
mud,泥,/mʌd/,The children played in the mud after the rain stopped.,雨停后，孩子们在泥巴里玩耍。
everyone,每人,/ˈevriwʌn/,Everyone enjoyed the party last night.,昨晚每个人都玩得很开心。
