word,meaning,phonetic,example,example_cn
story,故事,/ˈstɔːri/,,
buy,购买,/baɪ/,I need to buy some milk from the store.,我需要去商店买些牛奶。
firefighter,消防队员,/ˈfaɪəfaɪtə(r)/,,
why,为什么,/waɪ/,Why are you late?,你为什么迟到了？
driver,司机,/ˈdraɪvə(r)/,The driver stopped the bus.,司机停下了公交车。
cleaner,清洁工,/ˈkliːnə(r)/,The cleaner sweeps the floor every morning.,清洁工每天早上扫地。
delivery worker,快递员,/dɪˈlɪvəri ˈwɜːkə(r)/,,
police,警察,/pəˈliːs/,The police arrived at the scene quickly.,警察迅速到达了现场。
police officer,警察；警员,/pəˈliːs ˈɒfɪsə(r)/,My father is a police officer.,我爸爸是一名警察。
a lot of,大量；许多,/ə lɒt əv/,,
those,（that的复数形式）那些,/ðəʊz/,Those flowers are beautiful.,那些花很漂亮。
bed,床,/bed/,I go to bed at ten o'clock.,我十点钟上床睡觉。
tell,讲述；告诉,/tel/,Please tell me a story.,请给我讲个故事。
everyone,每人,/ˈevriwʌn/,Everyone enjoyed the party last night.,昨晚每个人都玩得很开心。
volunteer,志愿者,/ˌvɒlənˈtɪə(r)/,,
Mrs,太太；夫人,/ˈmɪsɪz/,Mrs. Jones lives next door.,琼斯夫人住在隔壁。
speak,说话；发言,/spiːk/,Please speak more slowly.,请说慢一点。
weather,天气,/ˈweðə(r)/,The weather is nice today.,今天天气很好。
sunny,阳光充足的,/ˈsʌni/,It is sunny today.,今天天气晴朗。
hot,热的,/hɒt/,The soup is very hot.,汤很烫。
bad,令人不快的；坏的,/bæd/,"The food at that restaurant was very bad, so I will not go there again.",那家餐厅的食物很差，所以我再也不会去了。
cold,冷的,/kəʊld/,The water is too cold for swimming.,水太冷了，不适合游泳。
windy,多风的,/ˈwɪndi/,It is very windy outside.,外面风很大。
cloudy,多云的,/ˈklaʊdi/,"It is cloudy today, so I will take my umbrella.",今天是阴天，所以我会带伞。
rainy,阴雨的,/ˈreɪni/,I like to stay at home on rainy days.,下雨天我喜欢待在家里。
snowy,多雪的,/ˈsnəʊi/,"It is a snowy day, so we stayed inside.",今天下雪，所以我们待在室内。
cool,凉爽的,/kuːl/,"It is cool in autumn, perfect for a walk.",秋天很凉爽，非常适合散步。
warm,温暖的,/wɔːm/,The weather is warm today.,今天天气很暖和。
tomorrow,在明天,/təˈmɒrəʊ/,We have a test tomorrow.,我们明天有一场考试。
rain,下雨；雨,/reɪn/,The rain started at noon and lasted all day.,雨在中午开始下，持续了一整天。
closed,关闭的,/kləʊzd/,,
film,电影,/fɪlm/,We watched a great film last night.,我们昨晚看了一部很棒的影片。
fly,操纵（飞行器等）；飞,/flaɪ/,Birds can fly high in the sky.,鸟儿能在天空中飞得很高。
kite,风筝,/kaɪt/,The children are flying kites in the park.,孩子们正在公园里放风筝。
snowman,雪人,/ˈsnəʊmæn/,The children built a snowman in the yard.,孩子们在院子里堆了一个雪人。
their,他们的；她们的；它们的,/ðeə(r)/,The children put away their toys.,孩子们收好了他们的玩具。
swim,游泳,/swɪm/,Can you swim in the pool?,你会在游泳池游泳吗？
Sydney,悉尼,/ˈsɪdni/,Sydney has a famous opera house.,悉尼有一座著名的歌剧院。
whose,谁的,/huːz/,Whose book is this?,这是谁的书？
sweater,毛衣,/ˈswetə(r)/,She wore a warm red sweater in the winter.,她冬天穿了一件暖和的红色毛衣。
sock,短袜,/sɒk/,I lost one sock in the laundry.,我在洗衣时弄丢了一只袜子。
mine,我的,/maɪn/,"This book is mine, not yours.",这本书是我的，不是你的。
wear,穿；戴,/weə(r)/,She wears a red dress today.,她今天穿了一条红裙子。
shirt,衬衫,/ʃɜːt/,He wore a white shirt and blue jeans.,他穿了一件白衬衫和蓝色牛仔裤。
coat,大衣；外套,/kəʊt/,"Put on your coat, it is cold outside.",穿上你的外套，外面很冷。
dress,连衣裙,/dres/,She wore a beautiful red dress.,她穿了一条漂亮的红裙子。
which,哪一个；哪一些,/wɪtʃ/,Which color do you like?,你喜欢哪个颜色？
season,季节,/ˈsiːzn/,Autumn is my favorite season of the year.,秋天是一年中我最喜欢的季节。
winter,冬天,/ˈwɪntə(r)/,Winter is the coldest season.,冬天是最冷的季节。
snow,下雪；雪,/snəʊ/,The snow covered everything in white.,雪把一切都覆盖成了白色。
get,（使）达到，处于,/get/,I need to get to the station before six.,我需要在六点前到达车站。
spring,春天,/sprɪŋ/,Flowers bloom in spring.,春天花儿开了。
summer,夏天,/ˈsʌmə(r)/,I go swimming every summer.,我每年夏天都去游泳。
autumn,秋天,/ˈɔːtəm/,The leaves turn red and yellow in autumn.,秋天树叶变成红色和黄色。
T-shirt,T恤衫,/ˈtiː ʃɜːt/,He wears a blue T-shirt today.,他今天穿了一件蓝色T恤衫。
fall,落下,/fɔːl/,Be careful not to fall on the icy road.,小心别在结冰的路上摔倒。
leaf,叶,/liːf/,A leaf fell from the tree and landed on the ground.,一片叶子从树上落下，掉在了地上。
glove,手套,/ɡlʌv/,I lost one glove on the bus.,我在公交车上丢了一只手套。
then,然后；那时,/ðen/,"I finished my homework, then I watched TV.",我写完了作业，然后看电视。
