word,meaning,phonetic,example,example_cn
meat,/miːt/,肉,Tigers eat meat.,老虎吃肉。
no,/nəʊ/,不；没有,"No, it isn't.",不，不是的。
tiger,/ˈtaɪɡə(r)/,老虎,The tiger is the king.,老虎是百兽之王。
mouse,/maʊs/,老鼠（复数mice）,The cat catches a mouse.,猫抓老鼠。
together,/təˈɡeðə(r)/,一起,Let's play together.,我们一起玩吧。
nose,/nəʊz/,鼻子,Touch your nose.,摸摸你的鼻子。
clothes,/kləʊðz/,衣服,I have new clothes.,我有新衣服。
size,/saɪz/,尺寸,What size do you wear?,你穿多大号？
do,/duː; də/,做；助动词,Do you like it?,你喜欢它吗？
wear,/weə(r)/,穿；戴,I wear a red T-shirt.,我穿一件红色T恤。
PE,/piː iː/,体育,We have PE class today.,我们今天有体育课。
team,/tiːm/,队,We are in the same team.,我们在同一队。
swim,/swɪm/,游泳,I can swim in summer.,夏天我可以游泳。
whose,/huːz/,谁的,Whose bag is this?,这是谁的包？
shirt,/ʃɜːt/,衬衫,My shirt is white.,我的衬衫是白色的。
not,/nɒt/,不；没有,It is not mine.,它不是我的。
bike,/baɪk/,自行车,I go to school by bike.,我骑自行车上学。
where,/weə/,哪里,Where is my book?,我的书在哪里？
sweater,/ˈswetə(r)/,毛衣,Put on your sweater.,穿上你的毛衣。
room,/ruːm/,房间,This is my room.,这是我的房间。
bed,/bed/,床,The cat is on the bed.,猫在床上。
under,/ˈʌndə(r)/,在……下面,The ball is under the chair.,球在椅子下面。
chair,/tʃeə/,椅子,Sit on the chair.,坐在椅子上。
very,/ˈveri/,很；非常,Thank you very much.,非常感谢你。
much,/mʌtʃ/,非常；许多,I like it very much.,我非常喜欢它。
dear,/dɪə/,亲爱的,"Dear Mom, I love you.",亲爱的妈妈，我爱你。
box,/bɒks/,盒；箱,The shoes are in the box.,鞋子在盒子里。
sport,/spɔːt/,运动,My favorite sport is swimming.,我最喜欢的运动是游泳。
shoe,/ʃuː/,鞋,These are my new shoes.,这是我的新鞋。
forest,/ˈfɒrɪst/,森林,Many animals live in the forest.,许多动物住在森林里。
skirt,/skɜːt/,裙子,The girl wears a pink skirt.,女孩穿着粉色裙子。
shorts,/ʃɔːts/,短裤,I wear shorts in summer.,夏天我穿短裤。
want,/wɒnt/,想；想要,I want some water.,我想要一些水。
time,/taɪm/,时间,What time is it?,几点了？
eleven,/ɪˈlevn/,十一,It's eleven o'clock.,十一点了。
hotel,/həʊˈtel/,旅馆,We stay in a hotel.,我们住在旅馆里。
Tokyo,/ˈtəʊkjəʊ/,东京,Tokyo is in Japan.,东京在日本。
Moscow,/ˈmɒskəʊ/,莫斯科,Moscow is in Russia.,莫斯科在俄罗斯。
Paris,/ˈpærɪs/,巴黎,Paris is in France.,巴黎在法国。
London,/ˈlʌndən/,伦敦,London is in the UK.,伦敦在英国。
clock,/klɒk/,钟,The clock is on the wall.,钟在墙上。
twelve,/twelv/,十二,There are twelve months.,一年有十二个月。
sun,/sʌn/,太阳,The sun is bright.,阳光明媚。
push,/pʊʃ/,推,Don't push in the crowd.,在人群中别推挤。
thirty,/ˈθɜːti/,三十,It's seven thirty.,七点半了。
read,/riːd/,读；阅读,I read books every day.,我每天读书。
kid,/kɪd/,孩子,The kids are playing.,孩子们在玩耍。
with,/wɪð/,和；用,Play with your friends.,和你的朋友们一起玩。
toy,/tɔɪ/,玩具,I have many toys.,我有很多玩具。
watch,/wɒtʃ/,观看,Let's watch TV.,我们看电视吧。
TV,/ˌtiː ˈviː/,电视,The TV is on.,电视开着。
twenty,/ˈtwenti/,二十,I have twenty stickers.,我有二十张贴纸。
homework,/ˈhəʊmwɜːk/,家庭作业,I do my homework after school.,我放学后做作业。
dinner,/ˈdɪnə/,正餐；晚餐,We have dinner at 6.,我们六点吃晚饭。
thirteen,/ˌθɜːˈtiːn/,十三,I'm thirteen years old.,我十三岁了。
fourteen,/ˌfɔːˈtiːn/,十四,There are fourteen girls.,有十四个女孩。
fifteen,/ˌfɪfˈtiːn/,十五,Fifteen students are here.,十五个学生在这里。
sixteen,/ˌsɪksˈtiːn/,十六,I have sixteen crayons.,我有十六支蜡笔。
seventeen,/ˌsevnˈtiːn/,十七,Seventeen boys are playing.,十七个男孩在玩耍。
eighteen,/ˌeɪˈtiːn/,十八,There are eighteen apples.,有十八个苹果。
nineteen,/ˌnaɪnˈtiːn/,十九,Nineteen is my number.,十九是我的号码。
use,/juːz/,使用,Can I use your pen?,我能用你的笔吗？
picture,/ˈpɪktʃə/,图片,Look at this picture.,看这张图片。
healthy,/ˈhelθi/,健康的,Eat healthy food.,吃健康的食物。
eat,/iːt/,吃,I eat breakfast at 7.,我七点吃早餐。
breakfast,/ˈbrekfəst/,早餐,What's for breakfast?,早餐吃什么？
hungry,/ˈhʌŋɡri/,饥饿的,I'm hungry. Let's eat.,我饿了，我们吃饭吧。
milk,/mɪlk/,牛奶,I drink milk every morning.,我每天早上喝牛奶。
bread,/bred/,面包,I have bread for breakfast.,我早餐吃面包。
today,/təˈdeɪ/,今天,Today is Monday.,今天是星期一。
about,/əˈbaʊt/,关于；大约,How about some juice?,来点果汁怎么样？
some,/sʌm/,一些,Have some water.,喝点水吧。
juice,/dʒuːs/,果汁,I like orange juice.,我喜欢橙汁。
lunch,/lʌntʃ/,午餐,We have lunch at school.,我们在学校吃午餐。
hamburger,/ˈhæmbɜːɡə/,汉堡包,I want a hamburger.,我想要一个汉堡包。
salad,/ˈsæləd/,沙拉,The salad is fresh.,沙拉很新鲜。
drink,/drɪŋk/,喝；饮料,Drink more water.,多喝水。
help,/help/,帮助,Can I help you?,我能帮你吗？
glass,/ɡlɑːs/,玻璃杯,"A glass of milk, please.",请来一杯牛奶。
of,/ɒv/,……的,A cup of tea.,一杯茶。
favorite,/ˈfeɪvərɪt/,最喜欢的,My favorite food is rice.,我最喜欢的食物是米饭。
sweet,/swiːt/,甜的,The cake is sweet.,蛋糕很甜。
fruit,/fruːt/,水果,Eat more fruit.,多吃水果。
Chinese,/ˌtʃaɪˈniːz/,中国的；汉语,I like Chinese food.,我喜欢中国菜。
food,/fuːd/,食物,Rice is healthy food.,米饭是健康食品。
idea,/aɪˈdɪə/,主意,Good idea!,好主意！
rice,/raɪs/,米饭,I eat rice every day.,我每天吃米饭。
soup,/suːp/,汤,The soup is hot.,汤很烫。
chicken,/ˈtʃɪkɪn/,鸡肉；鸡,I like chicken soup.,我喜欢鸡汤。
vegetable,/ˈvedʒtəbl/,蔬菜,Eat more vegetables.,多吃蔬菜。
